Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
google cybersecurity,google,"['Network Security', 'Python Programming', 'Linux', 'Cloud Computing', 'Algorithms', 'Audit', 'Computer Programming', 'Computer Security Incident Management', 'Cryptography', 'Databases', 'Leadership and Management', 'Network Architecture', 'Risk Management', 'SQL']",4.8,https://www.coursera.org/professional-certificates/google-cybersecurity,700909.0,"google cloud fundamentals: core infrastructure introduces important concepts and terminology for working with google cloud. through videos and hands-on labs, this course presents and compares many of google cloud's computing and storage services, along with important resource and policy management tools.
",20000.0,beginner,professional certificate,3 - 6 Months
google data analytics,google,"['Data Analysis', 'R Programming', 'SQL', 'Business Communication', 'Spreadsheet Software', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Big Data', 'Communication', 'Computer Programming', 'Data Science', 'Data Visualization Software', 'Databases', 'Exploratory Data Analysis', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Microsoft Excel', 'Problem Solving', 'Small Data', 'Statistical Programming', 'Tableau Software']",4.8,https://www.coursera.org/professional-certificates/google-data-analytics,229865.0,"prepare for a new career in the high-growth field of cybersecurity, no degree or experience required. get professional training designed and delivered by subject matter experts at google and have the opportunity to connect with top employers.
organizations must continuously protect themselves and the people they serve from cyber-related threats, like fraud and phishing. they rely on cybersecurity to maintain the confidentiality, integrity, and availability of their internal systems and information. cybersecurity analysts use a collection of methods and technologies to safeguard against threats and unauthorized access — and to create and implement solutions should a threat get through.
during the 8 courses in this certificate program, you’ll learn from cybersecurity experts at google and gain in-demand skills that prepare you for entry-level roles like cybersecurity analyst, security operations center (soc) analyst, and more. at under 10 hours per week, you can complete the certificate in less than 6 months. 
upon completion of the certificate, you can directly apply for jobs with google and over 150 u.s. employers, including american express, deloitte, colgate-palmolive, mandiant (now part of google cloud), t-mobile, and walmart.
the google cybersecurity certificate helps prepare you for the comptia security+ exam, the industry leading certification for cybersecurity roles. you’ll earn a dual credential when you complete both.
applied learning project
this program includes 170 hours of instruction and hundreds of practice-based assessments and activities that simulate real-world cybersecurity scenarios that are critical for success in the workplace. through a mix of videos, assessments, and hands-on labs, you’ll become familiar with the cybersecurity tools, platforms, and skills required for an entry-level job.
skills you’ll gain will include: python, linux, sql, security information and event management (siem) tools, intrusion detection systems (ids), communication, collaboration, analysis, problem solving and more! 
additionally, each course includes portfolio activities through which you’ll showcase examples of cybersecurity skills that you can share with potential employers. acquire concrete skills that top employers are hiring for right now.
",137000.0,beginner,professional certificate,3 - 6 Months
google project management:,google,"['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Communication', 'Business Communication', 'Collaboration', 'Agile Software Development', 'Software Engineering', 'Entrepreneurship', 'Scrum (Software Development)', 'Planning', 'Supply Chain and Logistics', 'Change Management', 'Finance', 'Organizational Development', 'Product Management', 'Risk Management', 'Budget Management', 'Influencing', 'Culture', 'Emotional Intelligence', 'People Management', 'Problem Solving', 'Procurement']",4.8,https://www.coursera.org/professional-certificates/google-project-management,29702.0,"prepare-se para uma nova carreira no campo de alto crescimento de gerenciamento de projetos, sem necessidade de experiência ou diploma. receba treinamento profissional desenvolvido pelo google e aumente rapidamente sua vantagem competitiva para conquistar um trabalho bem remunerado. 
os gerentes de projeto são solucionadores naturais de problemas. eles definem o plano, orientam os colegas de equipe e gerenciam mudanças, riscos e partes interessadas.
ao longo de seis cursos, você desenvolverá as habilidades necessárias para conquistar um trabalho de início de carreira na área. aprenda com funcionários do google que melhoraram as próprias carreiras com a base que tinham em gerenciamento de projetos. com menos de dez horas por semana, você conclui as aulas em menos de seis meses.
75% dos alunos que obtêm os certificados do google nos estados unidos relatam uma melhora em suas carreiras dentro de um intervalo de 6 meses após a obtenção da certificação.
veja todos os certificados de carreira do googleaquiopens in a new tab.
¹burning glass: labor insight (últimos 12 meses: 01/02/20 - 31/01/21)
fonte: *baseado nas respostas de pesquisa com os graduados pelo programa, estados unidos, 2021
applied learning project
este programa inclui mais de 140 horas de instrução e  de avaliações com base em situações reais, que ajudarão você a simular cenários reais de gerenciamento de projetos essenciais para o sucesso no  trabalho.
o conteúdo é  interativo e foi desenvolvido por funcionários do google com experiência em gerenciamento de projetos e programas.
as habilidades incluem: criação de planos de gerenciamento de riscos; compreensão das técnicas de melhoria de processos; gerenciamento de dinâmicas de equipes e de partes interessadas; criação de orçamentos e navegação pelas aquisições; utilização de softwares, ferramentas e modelos de gerenciamento de projetos; e prática de gerenciamento de projetos agile, com ênfase no scrum.
com os  vídeos, avaliações e atividades práticas, você irá iniciar, planejar e executar projetos tradicionais e agile. você desenvolverá recursos para demonstrar sua compreensão dos principais elementos do gerenciamento de projetos, cronogramas, orçamentos e equipes.
",100000.0,beginner,professional certificate,3 - 6 Months
ibm data science,ibm,"['Python Programming', 'Data Science', 'Machine Learning', 'Data Analysis', 'Algorithms', 'Data Management', 'Data Visualization', 'Human Learning', 'R Programming', 'Computer Programming', 'Data Mining', 'Data Structures', 'Database Administration', 'Database Application', 'Database Theory', 'Databases', 'Deep Learning', 'Exploratory Data Analysis', 'Machine Learning Algorithms', 'Plot (Graphics)', 'SQL', 'Data Model', 'Statistical Machine Learning', 'General Statistics', 'Probability & Statistics', 'Regression', 'Reinforcement Learning', 'Statistical Programming', 'Big Data', 'Cloud Computing', 'IBM Cloud', 'Writing']",4.6,https://www.coursera.org/professional-certificates/ibm-data-science,239622.0,"prepare for a career in the high-growth field of data science. in this program, you’ll develop the skills, tools, and portfolio to have a competitive edge in the job market as an entry-level data scientist in as little as 5 months. no prior knowledge of computer science or programming languages is required. 
data science involves gathering, cleaning, organizing, and analyzing data with the goal of extracting helpful insights and predicting expected outcomes. the demand for skilled data scientists who can use data to tell compelling stories to inform business decisions has never been greater. 
you’ll learn in-demand skills used by professional data scientists including databases, data visualization, statistical analysis, predictive modeling, machine learning algorithms, and data mining. you’ll also work with the latest languages, tools,and libraries including python, sql, jupyter notebooks, github, rstudio, pandas, numpy, scikitlearn, matplotlib, and more.
upon completing the full program, you will have built a portfolio of data science projects to provide you with the confidence to excel in your interviews. you will also receive access to join ibm’s talent network where you’ll see job opportunities as soon as they are posted, recommendations matched to your skills and interests, and tips and tricks to help you stand apart from the crowd. 
this program is ace® recommended—when you complete, you can earn up to 12 college credits. 
applied learning project
this professional certificate has a strong emphasis on applied learning and includes a series of hands-on labs in the ibm cloud that give you practical skills with applicability to real jobs.
tools you’ll use: jupyter / jupyterlab, github, r studio, and watson studio
libraries you’ll use: pandas, numpy, matplotlib, seaborn, folium, ipython-sql, scikit-learn, scippy, etc.
projects you’ll complete:
extract and graph financial data with the pandas python library
use sql to query census, crime, and school demographic data sets
wrangle data, graph plots, and create regression models to predict housing prices with data science python libraries
create a dynamic python dashboard to monitor, report, and improve us domestic flight reliability
apply and compare machine learning classification algorithms to predict whether a loan case will be paid off or not
train and compare machine learning models to predict if a space launch can reuse the first stage of a rocket
",120000.0,beginner,professional certificate,3 - 6 Months
google digital marketing & e-commerce,google,"['Digital Marketing', 'Marketing', 'Marketing Management', 'Media Strategy & Planning', 'Sales', 'E-Commerce', 'Data Analysis', 'Social Media', 'Search Engine Optimization', 'Advertising', 'Communication', 'Persona Research', 'Strategy', 'Web Design', 'Web Development', 'Web Development Tools', 'Writing', 'Data Management', 'Market Analysis']",4.8,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,384238.0,"this course is the eighth course in the google data analytics certificate. you’ll have the opportunity to complete an optional case study, which will help prepare you for the data analytics job hunt. case studies are commonly used by employers to assess analytical skills. for your case study, you’ll choose an analytics-based scenario. you’ll then ask questions, prepare, process, analyze, visualize and act on the data from the scenario. you’ll also learn other useful job hunt skills through videos with common interview questions and responses, helpful materials to build a portfolio online, and more. current google data analysts will continue to instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.
learners who complete this certificate program will be equipped to apply for introductory-level jobs as data analysts. no previous experience is necessary.

by the end of this course, you will:
 - learn the benefits and uses of case studies and portfolios in the job search.
 - explore real world job interview scenarios and common interview questions.
 - discover how case studies can be a part of the job interview process. 
 - examine and consider different case study scenarios. 
 - have the chance to complete your own case study for your portfolio.
",23000.0,beginner,professional certificate,3 - 6 Months
ibm data analyst,ibm,"['Python Programming', 'Microsoft Excel', 'Data Visualization', 'Spreadsheet Software', 'Data Analysis', 'Databases', 'SQL', 'Plot (Graphics)', 'Data Management', 'Data Structures', 'Exploratory Data Analysis', 'Machine Learning', 'Business Analysis', 'Computer Programming', 'Database Administration', 'Database Application', 'Database Theory', 'Statistical Visualization', 'Data Mining', 'Data Science', 'General Statistics', 'NoSQL', 'R Programming', 'Cloud Computing', 'Data Visualization Software', 'IBM Cloud', 'Interactive Data Visualization', 'Machine Learning Algorithms', 'Probability & Statistics', 'Regression', 'Statistical Programming']",4.6,https://www.coursera.org/professional-certificates/ibm-data-analyst,173574.0,"prepare for a career in the high-growth field of data analytics. in this program, you’ll learn in-demand skills like python, excel, and sql to get job-ready in as little as 4 months. no prior experience or degree needed.
data analysis is the process of collecting, storing, modeling, and analyzing data that can inform executive decision-making, and the demand for skilled data analysts has never been greater. 
this program will teach you the foundational data skills employers are seeking for entry-level data analytics roles. it will not only help you start your career in data analytics, but also provides a strong foundation for future career development in other paths such as data science, artificial intelligence, deep learning, or data engineering. 
you’ll learn the latest skills and tools used by professional data analysts including excel spreadsheets, python, pandas, numpy, jupyter notebooks, cognos analytics, and more. you’ll work with a variety of data sources and project scenarios to gain practical experience with data manipulation and applying analytical skills.
when you complete the full program, you’ll have a portfolio of projects and a professional certificate from ibm to showcase your expertise. you’ll also earn an ibm digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. 
this program is ace® recommended—when you complete, you can earn up to 12 college credits. 
applied learning project
throughout the program, you’ll complete hands-on projects and labs and gain a firm grasp on the required technical skills to effectively gather, wrangle, mine, and visualize data, as well as the soft skills for working with stakeholders and storytelling with data to engage your audience.
projects
import, clean, and analyze fleet vehicle inventory with excel pivot tables
use car sales key performance indicator (kpi) data to create an interactive dashboard with visualizations
extract and graph financial data with the pandas data analysis python library
use sql to query census, crime, and school demographic data sets
wrangle data, graph plots, and create regression models to predict housing prices with data science python libraries
create a dynamic python dashboard to monitor, report, and improve us domestic flight reliability
at the end of the program, you complete a real-world capstone project specifically designed to showcase your newly learned data analyst skills.
",73000.0,beginner,professional certificate,3 - 6 Months
google it support,google,"['Computer Networking', 'Network Architecture', 'Network Model', 'Networking Hardware', 'Network Analysis', 'Computer Architecture', 'Critical Thinking', 'Problem Solving', 'Communication', 'Human Computer Interaction', 'Network Security', 'Linux', 'System Security', 'Cloud Computing', 'Computer Programming', 'Customer Support', 'Cryptography', 'Leadership and Management', 'Operating Systems']",4.8,https://www.coursera.org/professional-certificates/support-informatique-google,634525.0,"this beginner-level, six-course certificate, developed by google, is designed to provide it professionals with in-demand skills -- including python, git, and it automation -- that can help you advance your career.
knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in it. python, in particular, is now the most in-demand programming language by employersopens in a new tab.
this program builds on your it foundations to help you take your career to the next level. it’s designed to teach you how to program with python and how to use python to automate common system administration tasks. you'll also learn to use git and github, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the cloud.
this certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in it, like more advanced it support specialist or junior systems administrator positions. upon completion, you can share your information with potential employers, like deloitte, target, verizon, and of course, google. 
we recommend that you have python installed on your machine. for some courses, you’ll need a computer where you can install git or ask your administrator to install it for you.
if you’d like to learn the fundamentals of it support, check out the beginner level google it support professional certificateopens in a new tab. 
check out all google career certificates hereopens in a new tab.
applied learning project
learn how to program with python with no previous knowledge of coding required and you’ll use python to automate common system administration tasks
learn to use git and github, to troubleshoot and debug complex problems
apply automation at scale by using configuration management and the cloud
practice your technical skills with hands-on projects including a capstone project where you’ll use your new knowledge to solve a real-world it problem
",183000.0,beginner,professional certificate,3 - 6 Months
machine learning,multiple educators,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Algorithms', 'Deep Learning', 'Machine Learning Software', 'Artificial Neural Networks', 'Human Learning', 'Python Programming', 'Regression', 'Statistical Machine Learning', 'Tensorflow', 'Mathematics', 'Critical Thinking', 'Network Model', 'Reinforcement Learning']",4.9,https://www.coursera.org/specializations/machine-learning,201871.0,"this specialization from leading researchers at the university of washington introduces you to the exciting, high-demand field of machine learning. through a series of practical case studies, you will gain applied experience in major areas of machine learning including prediction, classification, clustering, and information retrieval. you will learn to analyze large and complex datasets, create systems that adapt and improve over time, and build intelligent applications that can make predictions from data.
applied learning project
learners will implement and apply predictive, classification, clustering, and information retrieval machine learning algorithms to real datasets throughout each course in the specialization. they will walk away with applied machine learning and python programming experience.
",19000.0,beginner,specialization,1 - 3 Months
google ux design,google,"['User Experience', 'User Experience Design', 'User Research', 'Audit', 'Collaboration', 'Human Computer Interaction', 'Planning', 'Product Design', 'Product Development', 'Social Media', 'Web Design', 'Web Development Tools']",4.8,https://www.coursera.org/professional-certificates/google-ux-design,1297487.0,"prepare for a new career in the high-growth field of project management, no experience or degree required. get professional training designed by google and get on the fastrack to a competitively paid job. there are over 715,000 open jobs in project management with a median entry-level salary of $77,000.¹
project managers are natural problem-solvers. they set the plan and guide teammates, and manage changes, risks, and stakeholders.
gain in-demand skills that will prepare you for an entry-level job. learn from google employees whose foundations in project management served as launchpads for their own careers. 
upon completion, you can directly apply for jobs with google and over 150 u.s. employers including deloitte, target, verizon, and of course, google. 
this program qualifies you for over 100 hours of project management education, which helps prepare you for project management instituteopens in a new tab certifications like the globally-recognized certified associate in project management (capm)®.opens in a new tab
75% of certificate graduates report a positive career outcome (e.g., new job, promotion, or raise) within six months of completion²
check out all google career certificates hereopens in a new tab.
¹lightcast™ us job postings (2022: jan. 1, 2022 - dec. 31, 2022).
²based on program graduate survey, united states 2022
applied learning project
this program includes over 140 hours of instruction and hundreds of practice-based assessments which will help you simulate real-world project management scenarios that are critical for success in the workplace.
the content is highly interactive and exclusively developed by google employees with decades of experience in program and project management.
skills you’ll gain will include: creating risk management plans; understanding process improvement techniques; managing escalations, team dynamics, and stakeholders; creating budgets and navigating procurement; utilizing  project management software, tools, and templates; practicing agile project management, with an emphasis on scrum.
through a mix of videos, assessments, and hands-on activities, you’ll get introduced to initiating, planning, and running both traditional and agile projects. you’ll develop a toolbox to demonstrate your understanding of key project management elements, including managing a schedule, budget, and team.
",75000.0,beginner,professional certificate,3 - 6 Months
ibm devops and software engineering,ibm,"['DevOps', 'Software Engineering', 'Cloud Computing', 'Computer Programming', 'Application Development', 'Python Programming', 'Software Architecture', 'Cloud Applications', 'Continuous Delivery', 'Continuous Integration', 'Software Engineering Tools', 'Agile Software Development', 'Programming Principles', 'Security Engineering', 'Software Testing', 'Cloud Infrastructure', 'Kubernetes', 'Cloud-Based Integration', 'Microarchitecture', 'Cloud Platforms', 'Communication', 'IBM Cloud', 'Scrum (Software Development)', 'Software Security', 'Cloud Storage', 'Docker (Software)', 'Linux', 'Software-Defined Networking', 'Technical Product Management', 'Collaboration', 'Leadership and Management', 'Data Analysis', 'Mergers & Acquisitions']",4.6,https://www.coursera.org/professional-certificates/devops-and-software-engineering,4063.0,"devops professionals are in high demand! according to a recent gitlab report,  devops skills are expected to grow 122% over the next five years,  making it one of the fastest growing skills in the workforce. 
this certificate will equip you with the key concepts and technical know-how to build your skills and knowledge of devops practices, tools and technologies and prepare you for an entry-level role in software engineering. 
the courses in this program will help you develop skill sets in a variety of devops philosophies and methodologies including agile development, scrum methodology, cloud native architecture, behavior and test-driven development, and zero downtime deployments.
you will learn to program with the python language and linux shell scripts,  create projects in github, containerize and orchestrate your applications using docker, kubernetes & openshift,  compose applications with microservices, employ serverless technologies,  perform continuous integration and delivery (ci/cd), develop testcases,  ensure your code is secure, and monitor & troubleshoot your cloud deployments.
guided by experts at ibm, you will be prepared for success. labs and projects in this certificate program are designed to equip job-ready hands-on skills that will help you launch a new career in a highly in-demand field. 
this professional certificate is suitable for both - those who have none or some programming experience, as well as those with and without college degrees.
applied learning project
throughout the courses in this professional certificate,  you will develop a portfolio of projects to demonstrate your proficiency using various popular tools and technologies in devops and cloud native software engineering. 
you will: 
create applications using python programming language, using different programming constructs and logic, including functions, rest apis, and various python libraries.
develop linux shell scripts using bash and automate repetitive tasks
create projects on github and work with git commands
build  and deploy applications composed of several microservices and deploy  them to cloud using containerization tools (such as docker, kubernetes,  and openshift); and serverless technologies
employ various tools for automation, continuous integration (ci) and  continuous deployment (cd) of software including chef, puppet, github  actions, tekton and travis.
secure and monitor your applications and cloud deployments using tools like sysdig and prometheus.
",44000.0,beginner,professional certificate,3 - 6 Months
